순번,설치주소,설치위치,설치년도,설치형상,관리부서
190,충청남도 천안시 동남구 성남면 대화리 315-3,생활권공원,,파고라(4개),공원관리1팀
191,충청남도 천안시 동남구 풍세면 용정리 989,솔모랭이공원(6호공원),,파고라(2개),공원관리1팀
192,충청남도 천안시 동남구 원성동 244-8,문성소공원,2021,파고라(2개),공원관리1팀
193,충청남도 천안시 동남구 신방동 719,신방쉼터,,정자(2개),공원관리1팀
194,충청남도 천안시 동남구 신방동 719,신방쉼터,,파고라(10개),공원관리1팀
195,충청남도 천안시 동남구 구성동 435-1,구성1공원,,정자(1개),공원관리1팀
196,충청남도 천안시 동남구 목천읍 남화리 61-1일원,광복의 동산,,정자(1개),공원관리1팀
197,충청남도 천안시 동남구 목천읍 동평리 45-2 일원,보은의 동산,,정자(1개),공원관리1팀
198,충청남도 천안시 동남구 용곡동 498 일원,신방체육관 녹색쉼터,,정자(1개),공원관리1팀
199,충청남도 천안시 동남구 신부동 124 일원,도솔광장,,정자(7개),공원관리1팀
200,충청남도 천안시 동남구 신부동 124 일원,도솔광장,,파고라(1개),공원관리1팀
201,충청남도 천안시 동남구 안서동 526-153,안서1공원,2024,파고라(3개),공원관리1팀
202,충청남도 천안시 서북구 쌍용동 산84번지,쌍용공원 ,2007,정자(1개),공원관리2팀
203,충청남도 천안시 서북구 쌍용동 산84번지,쌍용공원 ,2007,파고라(4개),공원관리2팀
204,충청남도 천안시 서북구 두정동 899번지,백석2공원,,파고라(1개),공원관리2팀
205,충청남도 천안시 서북구 두정동 397-1번지,두정공원 ,,정자(1개),공원관리2팀
206,충청남도 천안시 서북구 성정동 1282번지,성정(청사)공원,,파고라(5개),공원관리2팀
207,충청남도 천안시 서북구 쌍용동 1563번지,방아다리공원 ,,정자(1개),공원관리2팀
208,충청남도 천안시 서북구 두정동 985번지,북부제1공원,,파고라(1개),공원관리2팀
209,충청남도 천안시 서북구 직산읍 삼은리 507번지,테크노파크공원,2003,파고라(2개),공원관리2팀
210,충청남도 천안시 서북구 직산읍 삼은리 501번지,직산삼은공원,2001,파고라(3개),공원관리2팀
211,충청남도 천안시 서북구 직산읍 모시리 292번지,제1호근린공원,2004,파고라(2개),공원관리2팀
212,충청남도 천안시 서북구 직산읍 모시리 305번지,제2호근린공원,2004,파고라(2개),공원관리2팀
213,충청남도 천안시 서북구 직산읍 신갈리 244번지,제4호근린공원,2004,파고라(3개),공원관리2팀
214,충청남도 천안시 서북구 직산읍 모시리 274번지,제5호근린공원,2004,파고라(2개),공원관리2팀
215,충청남도 천안시 서북구 백석동 1071번지,유통단지공원,2005,파고라(1개),공원관리2팀
216,충청남도 천안시 서북구 차암동 547번지,차암공원 ,2009,파고라(4개),공원관리2팀
217,충청남도 천안시 서북구 성환읍 성월리 93-28번지,성환4공원,,파고라(2개),공원관리2팀
218,충청남도 천안시 서북구 성성동 829번지 ,성성1지구공원,2018,파고라(3개),공원관리2팀
219,충청남도 천안시 서북구 성성동 711번지,성성3지구공원,2018,파고라(4개),공원관리2팀
220,충청남도 천안시 서북구 불당동 743번지,불당2공원,2017,정자(1개),공원관리2팀
221,충청남도 천안시 서북구 불당동 1282번지,불당4공원 ,2005,파고라(1개),공원관리2팀
222,충청남도 천안시 서북구 불당동 1451번지,불당6공원,2010,파고라(1개),공원관리2팀
223,충청남도 천안시 서북구 불당동 815번지,쌍불공원,,정자(2개),공원관리2팀
224,충청남도 천안시 서북구 불당동 859번지,천변공원,,파고라(4개),공원관리2팀
225,충청남도 천안시 서북구 두정동 238번지,정담은공원,2009,파고라(1개),공원관리2팀
226,충청남도 천안시 서북구 두정동 2046번지,두정8공원,2011,파고라(1개),공원관리2팀
227,충청남도 천안시 서북구 두정동 1205번지,행복공원,2002,파고라(4개),공원관리2팀
228,충청남도 천안시 서북구 두정동 1696번지,산새공원,2002,파고라(1개),공원관리2팀
229,충청남도 천안시 서북구 부대동 1067번지,무당벌레공원,2021,파고라(2개),공원관리2팀
230,충청남도 천안시 서북구 부대동 1035번지,잠자리공원,2015,파고라(3개),공원관리2팀
231,충청남도 천안시 서북구 두정동 1560번지,부대2공원,2002,파고라(2개),공원관리2팀
232,충청남도 천안시 서북구 두정동 869번지,원두정먹거리공원,2002,파고라(1개),공원관리2팀
233,충청남도 천안시 서북구 두정동 681번지,두정오성공원,2002,파고라(1개),공원관리2팀
234,충청남도 천안시 서북구 두정동 615번지,말우물공원,2002,파고라(2개),공원관리2팀
235,충청남도 천안시 서북구 차암동 495번지,차암밤개울공원,2002,파고라(2개),공원관리2팀
236,충청남도 천안시 서북구 성성동 791번지,성성4지구어린이공원,2018,파고라(2개),공원관리2팀
237,충청남도 천안시 서북구 성성동 976번지,성성2지구어린이공원,,파고라(1개),공원관리2팀
238,충청남도 천안시 서북구 성정동 694-8번지,별빛공원,,파고라(2개),공원관리2팀
239,충청남도 천안시 서북구 성정동 715-21번지,성정12길공원,,파고라(1개),공원관리2팀
240,충청남도 천안시 서북구 성정동 737-4번지,양지길시장공원,,파고라(1개),공원관리2팀
241,충청남도 천안시 서북구 성정동 124-22번지,선영9길공원,,파고라(2개),공원관리2팀
242,충청남도 천안시 서북구 성정동 637번지,인쇄창공원,,파고라(1개),공원관리2팀
243,충청남도 천안시 서북구 성정동 626-3번지,서부공원,,파고라(1개),공원관리2팀
244,충청남도 천안시 서북구 성정동 646-2번지,푸르내공원,,파고라(1개),공원관리2팀
245,충청남도 천안시 서북구 성정동 657-3번지,목련공원,,파고라(1개),공원관리2팀
246,충청남도 천안시 서북구 성정동 673-6번지,꽃구름공원,,파고라(1개),공원관리2팀
247,충청남도 천안시 서북구 성정동 691번지,구름공원,,파고라(2개),공원관리2팀
248,충청남도 천안시 서북구 성정동 436-10번지,장수공원,,파고라(2개),공원관리2팀
249,충청남도 천안시 서북구 성정동 844번지,도원공원,,파고라(1개),공원관리2팀
250,충청남도 천안시 서북구 성정동 955번지,안식의공원,,파고라(1개),공원관리2팀
251,충청남도 천안시 서북구 성정동 1180번지,고우니공원,,파고라(1개),공원관리2팀
252,충청남도 천안시 서북구 성정동 1569번지,두정4공원,2019,파고라(2개),공원관리2팀
253,충청남도 천안시 서북구 쌍용동 847번지,개나리공원,,파고라(1개),공원관리2팀
254,충청남도 천안시 서북구 쌍용동 992번지,칸나공원,,팔각정(1개),공원관리2팀
255,충청남도 천안시 서북구 쌍용동 1188번지,사랑공원,,파고라(2개),공원관리2팀
256,충청남도 천안시 서북구 쌍용동 388-18번지,무궁화공원,,파고라(2개),공원관리2팀
257,충청남도 천안시 서북구 쌍용동 890번지,비둘기공원,,파고라(2개),공원관리2팀
258,충청남도 천안시 서북구 쌍용동 1133번지,으뜸공원,,파고라(1개),공원관리2팀
259,충청남도 천안시 서북구 쌍용동 1234번지,장미공원,,정자(1개),공원관리2팀
260,충청남도 천안시 서북구 쌍용동 2095번지,쌍용10공원,,정자(1개),공원관리2팀
261,충청남도 천안시 서북구 쌍용동 148번지,쌍용13공원,,파고라(1개),공원관리2팀
262,충청남도 천안시 서북구 쌍용동 1523번지,쌍용14공원,2023,파고라(2개),공원관리2팀
263,충청남도 천안시 서북구 쌍용동 1867번지,쌍용15공원,,파고라(1개),공원관리2팀
264,충청남도 천안시 서북구 쌍용동 1617번지,쌍용16공원,,파고라(3개),공원관리2팀
265,충청남도 천안시 서북구 쌍용동 2046-4번지,쌍용17공원,,파고라(1개),공원관리2팀
266,충청남도 천안시 서북구 쌍용동 1589번지,쌍용18공원,,파고라(1개),공원관리2팀
267,충청남도 천안시 서북구 쌍용동 656번지,쌍용19공원,,파고라(3개),공원관리2팀
268,충청남도 천안시 서북구 쌍용동 619번지,쌍용20공원,,파고라(1개),공원관리2팀
269,충청남도 천안시 서북구 쌍용동 1551번지,월봉공원,,정자(1개),공원관리2팀
270,충청남도 천안시 서북구 쌍용동 1280번지,솔내음공원,,파고라(2개),공원관리2팀
271,충청남도 천안시 서북구 쌍용동 1291번지,노을공원,,파고라(1개),공원관리2팀
272,충청남도 천안시 서북구 쌍용동 1924번지,희망공원,,파고라(1개),공원관리2팀
273,충청남도 천안시 서북구 쌍용동 1926번지,늘푸른공원,,파고라(1개),공원관리2팀
274,충청남도 천안시 서북구 쌍용동 1916번지,초록공원,,정자(1개),공원관리2팀
275,충청남도 천안시 서북구 쌍용동 1919번지,단풍공원,,파고라(1개),공원관리2팀
276,충청남도 천안시 서북구 쌍용동 2102번지,휴공원,,파고라(1개),공원관리2팀
277,충청남도 천안시 서북구 쌍용동 2101번지,노리공원,,파고라(2개),공원관리2팀
278,충청남도 천안시 서북구 백석동 911번지,51호공원,2004,파고라(3개),공원관리2팀
279,충청남도 천안시 서북구 백석동 916번지,53호공원,2004,파고라(2개),공원관리2팀
280,충청남도 천안시 서북구 백석동 895번지,54호공원,2004,파고라(2개),공원관리2팀
281,충청남도 천안시 서북구 백석동 833번지,55호공원,2004,파고라(1개),공원관리2팀
282,충청남도 천안시 서북구 백석동 771번지,56호공원,2004,파고라(1개),공원관리2팀
283,충청남도 천안시 서북구 백석동 931번지,백석1공원,2006,파고라(2개),공원관리2팀
284,충청남도 천안시 서북구 백석동 948번지,백석9공원,2009,파고라(1개),공원관리2팀
285,충청남도 천안시 서북구 백석동 999번지,환서공원,2010,파고라(2개),공원관리2팀
286,충청남도 천안시 서북구 백석동 1012번지,새가라공원,2010,파고라(2개),공원관리2팀
287,충청남도 천안시 서북구 백석동 1168번지,송골공원,2014,파고라(4개),공원관리2팀
288,충청남도 천안시 서북구 백석동 1001번지,나비공원,,파고라(1개),공원관리2팀
289,충청남도 천안시 서북구 차암동 439번지,산동공원,,파고라(2개),공원관리2팀
290,충청남도 천안시 서북구 부대동 1051번지,숲향기공원,2021,파고라(1개),공원관리2팀
291,충청남도 천안시 서북구 불당동 1499번지,능수버들공원,2018,정자(2개),공원관리2팀
292,충청남도 천안시 서북구 불당동 1499번지,능수버들공원,2018,파고라(9개),공원관리2팀
293,충청남도 천안시 서북구 불당동 1612번지,아름드리공원,2018,파고라(2개),공원관리2팀
294,충청남도 천안시 서북구 불당동 1612번지,아름드리공원,2018,정자(3개),공원관리2팀
295,충청남도 천안시 서북구 불당동 1512번지,아름드리공원,2018,파고라(1개),공원관리2팀
296,충청남도 천안시 서북구 불당동 1512번지,아름드리공원,2018,정자(1개),공원관리2팀
297,충청남도 천안시 서북구 불당동 1547번지,아름드리공원,2018,파고라(8개),공원관리2팀
298,충청남도 천안시 서북구 불당동 1547번지,아름드리공원,2018,정자(1개),공원관리2팀
299,충청남도 천안시 서북구 불당동 1547번지,아름드리공원,2018,팔각정(1개),공원관리2팀
300,충청남도 천안시 서북구 불당동 1800번지,수피아공원,2018,정자(1개),공원관리2팀
301,충청남도 천안시 서북구 불당동 1506번지,수피아공원,2018,팔각정(1개),공원관리2팀
302,충청남도 천안시 서북구 불당동 1506번지,수피아공원,2018,파고라(3개),공원관리2팀
303,충청남도 천안시 서북구 불당동 1641번지,물총새공원,2018,정자(1개),공원관리2팀
304,충청남도 천안시 서북구 불당동 1641번지,물총새공원,2018,파고라(1개),공원관리2팀
305,충청남도 천안시 서북구 불당동 1855번지,물총새공원,2018,파고라(1개),공원관리2팀
306,충청남도 천안시 서북구 불당동 1642번지,물총새공원,2018,정자(3개),공원관리2팀
307,충청남도 천안시 서북구 불당동 1642번지,물총새공원,2018,파고라(1개),공원관리2팀
308,충청남도 천안시 서북구 불당동 1851번지,하늘맞이공원,2018,파고라(4개),공원관리2팀
309,충청남도 천안시 서북구 불당동 1851번지,하늘맞이공원,2018,팔각정(1개),공원관리2팀
310,충청남도 천안시 서북구 백석동 1218번지,노태공원,2023,파고라(5개),공원관리2팀
311,충청남도 천안시 서북구 성성동 999번지,노태공원,2023,파고라(5개),공원관리2팀
312,충청남도 천안시 동남구 옛시청길 39 ,동남구 행정복합타운 정원,2020,파고라,동남구 자치행정과
313,충청남도 천안시 동남구 북면 용암리 378-2,용암1리,2008,정자,북면 행정복지센터
314,충청남도 천안시 동남구 북면 상동리 221,상동2리,2009,정자,북면 행정복지센터
315,충청남도 천안시 동남구 북면 오곡2길 134,오곡2리 경로당,2009,퍼걸러,북면 행정복지센터
316,충청남도 천안시 동남구 북면 매송5길 71,매송2리 경로당 일원,2020,팔각정,북면 행정복지센터
317,충청남도 천안시 동남구 북면 은지리 277-3,,2023,팔각정,북면 행정복지센터
318,충청남도 천안시 동남구 북면 연춘리 243-34,,2023,육각정,북면 행정복지센터
319,충청남도 천안시 동남구 북면 사담리 159-3,,2023,팔각정,북면 행정복지센터
320,동남구 북면 오곡리 356번지 일원,동남구 북면 오곡리 356번지 일원,2024,팔각정,북면 행정복지센터
321,충청남도 천안시 동남구 청수14로 99,청룡동행정복지센터 앞,2021,파라솔의자,청룡동
322,충청남도 천안시 동남구 청수14로 99,청룡동행정복지센터 옥상,2024,그늘막 및 벤치,청룡동
323,충청남도 천안시 서북구 입장면 가산리 276-3,가산1리내 마을 정자,2014,육각정,입장면
324,충청남도 천안시 서북구 입장면 가산리 276-3      ,가산리 게이트볼장,2014,팔각정,입장면
325,충청남도 천안시 서북구 입장면 도림리 247-1 ,도림2리 마을회관,2021,사각정,입장면
326,충청남도 천안시 서북구 입장면 독정리 192-1 ,독정1리 운동기구 옆,2012,육각정,입장면
327,충청남도 천안시 서북구 입장면 독정리 187-12,독정1리 마을회관,2015,사각정,입장면
328,충청남도 천안시 서북구 입장면 신두리 42-12 ,신두2리 마을회관,2011,사각정,입장면
329,충청남도 천안시 서북구 입장면 용정리 294-2,용정1리 마을회관,2021,사각정,입장면
330,충청남도 천안시 서북구 입장면 호당리 87 ,호당1리 마을회관,2012,팔각정,입장면
331,충청남도 천안시 서북구 입장면 홍천리 0058 ,홍천1리 마을 입구,2015,사각정,입장면
332,충청남도 천안시 서북구 입장면 흑암리 170-2 ,흑암리 마을회관,2015,사각정,입장면
333,충청남도 천안시 동남구 용곡동 315-1,천안시 맑은물사업본부 연못 옆,2005,팔각정,맑은물사업본부 관리과
334,충청남도 천안시 동남구 용곡동 315-1,천안시 맑은물사업본부 구내식당 앞,2005,정자,맑은물사업본부 관리과
335,충청남도 천안시 동남구 용곡동 315-1,천안시 맑은물사업본부 산책로 옆,2005,정자,맑은물사업본부 관리과
336,충청남도 천안시 서북구 번영로 208,국민체육센터 뒤,2001,퍼걸러,천안도시공사(문화체육부)
337,충청남도 천안시 서북구 번영로 208,다목적구장,2001,퍼걸러,천안도시공사(문화체육부)
338,충청남도 천안시 서북구 번영로 208,오룡지 상부 연못 주변,2001,사각정자,천안도시공사(문화체육부)
339,충청남도 천안시 서북구 번영로 208,오룡지 상부 연못 주변,2001,사각정자,천안도시공사(문화체육부)
340,충청남도 천안시 서북구 번영로 209,오룡지 상부 연못 주변,2001,사각정자,천안도시공사(문화체육부)
341,충청남도 천안시 서북구 번영로 208,맨땅구장과 인라인스케이트장 사이,2001,사각정자,천안도시공사(문화체육부)
342,충청남도 천안시 서북구 번영로 208,맨땅구장과 인라인스케이트장 사이,2001,사각정자,천안도시공사(문화체육부)
343,충청남도 천안시 서북구 번영로 208,시청 앞 태양열 주차장 주변,2023,사각정자,천안도시공사(문화체육부)
344,충청남도 천안시 서북구 번영로 208,시청 앞 태양열 주차장 주변,2023,사각정자,천안도시공사(문화체육부)
345,충청남도 천안시 서북구 불당동 242-3,시민체육공원 휴게공간,2020,사각정자,천안도시공사(문화체육부)
346,충청남도 천안시 서북구 불당동 242-3,시민체육공원 풋살장 주변,2020,사각정자,천안도시공사(문화체육부)
347,충청남도 천안시 서북구 불당동 242-3,시민체육공원 관리사무실 옆,2020,사각정자,천안도시공사(문화체육부)
348,충청남도 천안시 서북구 불당동 242-3,시민체육공원 배드민턴장 주변,2020,사각정자,천안도시공사(문화체육부)
349,충청남도 천안시 서북구 불당동 242-3,시민체육공원 잔디광장 내,2020,사각정자,천안도시공사(문화체육부)
350,충청남도 천안시 서북구 불당동 242-3,시민체육공원 잔디광장 내,2020,사각정자,천안도시공사(문화체육부)
351,충청남도 천안시 서북구 번영로 208,오룡지 하부 연못 주변,2023,퍼걸러,천안도시공사(문화체육부)
352,충남 천안시 서북구 음봉로 861-50,한들문화센터 인라인스케이트장 내,2015,파고라,천안도시공사(생활체육부)
353,충남 천안시 서북구 음봉로 861-50,한들문화센터 인라인스케이트장 내,2015,파고라,천안도시공사(생활체육부)
354,충남 천안시 서북구 음봉로 861-50,한들문화센터 배드민턴장 옆,2015,파고라,천안도시공사(생활체육부)
355,충남 천안시 서북구 음봉로 861-50,한들문화센터 배드민턴장 옆,2015,파고라,천안도시공사(생활체육부)
356,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 인라인스케이트장 옆,2019,파고라,천안도시공사(생활체육부)
357,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 인라인스케이트장 옆,2019,파고라,천안도시공사(생활체육부)
358,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 인라인스케이트장 옆,2019,파고라,천안도시공사(생활체육부)
359,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 축구장 옆,2019,파고라,천안도시공사(생활체육부)
360,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 축구장 입구,2019,파고라,천안도시공사(생활체육부)
361,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 잔디광장 옆,2019,파고라,천안도시공사(생활체육부)
362,충청남도 천안시 서북구 성환읍 성환1로45,북부스포츠센터 잔디광장 옆,2019,파고라,천안도시공사(생활체육부)
363,충남 천안시 동남구 광덕면 밤나무골길38(천안추모공원),천안추모공원 야외 주차장,2010,육각정자,천안도시공사(공원운영부)
364,충남 천안시 동남구 광덕면 밤나무골길38(천안추모공원),천안추모공원 제1봉안시설 산책로,2010,팔각정자,천안도시공사(공원운영부)
365,충남 천안시 동남구 태조산길 261,태조산산림레포츠단지 안전교육관,2024,파고라,천안도시공사(공원운영부)
366,충남 천안시 동남구 태조산길 261,태조산산림레포츠단지 안전교육관,2021,파고라,천안도시공사(공원운영부)
367,충남 천안시 동남구 태조산길 261,와글와글숲 유아 놀이터 앞 ,2021,정자,천안도시공사(공원운영부)
368,충남 천안시 동남구 태조산길 261,유아숲안내소 앞,2021,파고라,천안도시공사(공원운영부)
369,충남 천안시 동남구 태조산길 261,태조산공원 내(쉼터) ,2012,정자,천안도시공사(공원운영부)
370,충남 천안시 동남구 태조산길 261,태조산공원 내(쉼터) ,2012,정자,천안도시공사(공원운영부)
371,충남 천안시 동남구 천안대로 844,도솔광장 내 인공암벽장 옆,2017,파고라,천안도시공사(공원운영부)
372,충남 천안시 동남구 천안대로 844,도솔광장 내 야외공연장 옆,2017,파고라,천안도시공사(공원운영부)
373,충남 천안시 동남구 천안대로 844,도솔광장 내 다목적구장,2017,파고라,천안도시공사(공원운영부)
374,충남 천안시 동남구 천안대로 844,도솔광장 내 시의거리,2017,파고라,천안도시공사(공원운영부)
375,충남 천안시 동남구 천안대로 844,도솔광장 내 산책로,2017,파고라,천안도시공사(공원운영부)
376,충남 천안시 동남구 천안대로 844,도솔광장 내,2017,파고라,천안도시공사(공원운영부)
377,충남 천안시 동남구 천안대로 844,도솔광장 내 시민의숲,2017,파고라,천안도시공사(공원운영부)
378,충남 천안시 동남구 천안대로 844,도솔광장 내,2017,팔각정,천안도시공사(공원운영부)
